benchmark,command,window,cycles_on_minus_off,classification
708.sqlite_r,0,0,-24,helpful
708.sqlite_r,0,1,-32,helpful
708.sqlite_r,0,2,-50,helpful
708.sqlite_r,0,3,-40,helpful
708.sqlite_r,0,4,-80,helpful
721.gcc_r,0,0,-40,helpful
721.gcc_r,0,1,0,neutral
721.gcc_r,0,2,-50,helpful
721.gcc_r,0,3,-24,helpful
721.gcc_r,0,4,0,neutral
767.nest_r,0,0,-2,helpful
767.nest_r,0,1,-48,helpful
767.nest_r,0,2,0,neutral
767.nest_r,0,3,0,neutral
767.nest_r,0,4,-64,helpful
767.nest_r,1,0,-24,helpful
767.nest_r,1,1,-32,helpful
767.nest_r,1,2,-78,helpful
767.nest_r,1,3,-48,helpful
767.nest_r,1,4,-32,helpful
777.zstd_r,0,0,0,neutral
777.zstd_r,0,1,-8,helpful
777.zstd_r,0,2,0,neutral
777.zstd_r,0,3,0,neutral
777.zstd_r,0,4,-48,helpful
