benchmark,command,window,sets,ways,line_bytes,victim_entries,timing_profile,trace_id,cycles_on_minus_off,classification
708.sqlite_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_708_sqlite_r_cmd000_w00_q10_n10044,12076,harmful
708.sqlite_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_708_sqlite_r_cmd000_w01_q30_n10041,12196,harmful
708.sqlite_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_708_sqlite_r_cmd000_w02_q50_n10099,14042,harmful
708.sqlite_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_708_sqlite_r_cmd000_w03_q70_n10020,13445,harmful
708.sqlite_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_708_sqlite_r_cmd000_w04_q90_n10055,9795,harmful
721.gcc_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_721_gcc_r_cmd000_w00_q10_n10000,14798,harmful
721.gcc_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_721_gcc_r_cmd000_w01_q30_n10000,19240,harmful
721.gcc_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_721_gcc_r_cmd000_w02_q50_n10000,20429,harmful
721.gcc_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_721_gcc_r_cmd000_w03_q70_n10000,10278,harmful
721.gcc_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_721_gcc_r_cmd000_w04_q90_n10000,16039,harmful
767.nest_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd000_w00_q10_n10000,3553,harmful
767.nest_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd000_w01_q30_n10000,22907,harmful
767.nest_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd000_w02_q50_n10000,23977,harmful
767.nest_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd000_w03_q70_n10000,22769,harmful
767.nest_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd000_w04_q90_n10000,16678,harmful
767.nest_r,1,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd001_w00_q10_n10000,13001,harmful
767.nest_r,1,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd001_w01_q30_n10000,13823,harmful
767.nest_r,1,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd001_w02_q50_n10000,13231,harmful
767.nest_r,1,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd001_w03_q70_n10000,13443,harmful
767.nest_r,1,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_767_nest_r_cmd001_w04_q90_n10000,13257,harmful
777.zstd_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_777_zstd_r_cmd000_w00_q10_n10088,12625,harmful
777.zstd_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_777_zstd_r_cmd000_w01_q30_n10080,4258,harmful
777.zstd_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_777_zstd_r_cmd000_w02_q50_n10086,4326,harmful
777.zstd_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_777_zstd_r_cmd000_w03_q70_n10072,4306,harmful
777.zstd_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,spec2026_777_zstd_r_cmd000_w04_q90_n10386,4504,harmful
