benchmark,command,window,sets,ways,line_bytes,victim_entries,timing_profile,cold_warm_mode,trace_id,trace_sha256,off_config_id,on_config_id,off_sets,off_ways,off_line_bytes,off_l1_bytes,off_victim_entries,off_victim_bytes,off_total_bytes,off_prefetch,off_accesses,off_hits,off_misses,off_victim_hits,off_demand_mem_reads,off_prefetch_mem_reads,off_mem_reads,off_mem_writes,off_read_bytes,off_write_bytes,off_writebacks,off_fills,off_useful,off_useless_evicted,off_unused_resident,off_pollution_proxy,off_dropped,off_timely_useful,off_late_useful,off_replay_service_cycles,off_watchdogs,off_protocol,off_duplicate_lines,on_sets,on_ways,on_line_bytes,on_l1_bytes,on_victim_entries,on_victim_bytes,on_total_bytes,on_prefetch,on_accesses,on_hits,on_misses,on_victim_hits,on_demand_mem_reads,on_prefetch_mem_reads,on_mem_reads,on_mem_writes,on_read_bytes,on_write_bytes,on_writebacks,on_fills,on_useful,on_useless_evicted,on_unused_resident,on_pollution_proxy,on_dropped,on_timely_useful,on_late_useful,on_replay_service_cycles,on_watchdogs,on_protocol,on_duplicate_lines,accuracy,l1_coverage,lower_coverage,bandwidth_overhead,bytes_on_minus_off,cycles_on_minus_off,cycle_delta_fraction,timeliness,cycle_class,true_l1_help,true_l1_pollution,true_lower_help,true_lower_pollution,trace_payload_records,trace_phase,trace_accesses,trace_loads,trace_stores,trace_load_store_ratio,trace_load_fraction,trace_unique_lines,trace_unique_line_bytes,trace_footprint_l1_ratio,trace_stride_count,trace_most_common_line_stride,trace_most_common_stride_fraction,trace_next_line_stride_fraction,trace_mean_abs_line_stride,trace_cold_line_accesses,trace_reuse_count,trace_reuse_distance_mean,trace_reuse_distance_median,trace_reuse_distance_p90,trace_reuse_distance_max,trace_set_access_max,trace_set_access_mean,trace_set_access_imbalance,trace_hottest_set_fraction,trace_set_unique_line_max,trace_set_unique_line_mean,trace_set_unique_imbalance,trace_sets_over_way_capacity,trace_max_unique_lines_over_ways
708.sqlite_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_708_sqlite_r_cmd000_w00_q10_n10044,fb783ac834ac40cd84f621f16c7968209d3ae4f1746c1cb7a7a3a3fc01ed0ac7,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5028,2328,2700,337,2363,0,2363,1131,37808,18096,1131,0,0,0,0,0,0,0,0,39632,0,0,0,4,2,16,128,4,64,192,1,5028,2426,2602,353,2249,1563,3812,1190,60992,19040,1190,1563,375,1185,3,1101,0,375,0,51708,0,0,0,0.239923225,0.036296296,0.048243758,0.431597023,24128,12076,0.304703270,1.000000000,harmful,329,231,353,239,10044,measure,5028,3102,1926,1.610591900,0.616945107,452,7232,56.500000000,5027,0,0.175054705,0.088720907,710486.316490949,452,4576,43.823645105,7.000000000,145.000000000,400,1331,1257.000000000,1.058870326,0.264717582,113,113.000000000,1.000000000,4,111
708.sqlite_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_708_sqlite_r_cmd000_w01_q30_n10041,e61711ac9f7a235ed9f3217f0b82fc7e1aeaf3d15cb521fc5ebef29b913ba1a4,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5020,2401,2619,380,2239,0,2239,1018,35824,16288,1018,0,0,0,0,0,0,0,0,38433,0,0,0,4,2,16,128,4,64,192,1,5020,2563,2457,412,2045,1660,3705,1111,59280,17776,1111,1660,457,1198,5,1150,0,457,0,50629,0,0,0,0.275301205,0.061855670,0.086645824,0.478661345,24944,12196,0.317331460,1.000000000,harmful,347,185,448,254,10041,measure,5020,3075,1945,1.580976864,0.612549801,176,2816,22.000000000,5019,0,0.217772465,0.109583582,855845.072325164,176,4844,30.171552436,7.000000000,107.000000000,160,1380,1255.000000000,1.099601594,0.274900398,51,44.000000000,1.159090909,4,49
708.sqlite_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_708_sqlite_r_cmd000_w02_q50_n10099,65a10448ecc3987caa0192b869ed0e596dee4168fa88b7dc8853b0890e9ff054,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5059,2103,2956,440,2516,0,2516,881,40256,14096,881,0,0,0,0,0,0,0,0,40315,0,0,0,4,2,16,128,4,64,192,1,5059,2239,2820,453,2367,1838,4205,953,67280,15248,953,1838,449,1388,1,1324,0,449,0,54357,0,0,0,0.244287269,0.046008119,0.059220986,0.518398587,28176,14042,0.348307082,1.000000000,harmful,376,240,405,256,10099,measure,5059,3527,1532,2.302219321,0.697173354,186,2976,23.250000000,5058,0,0.113285884,0.099446422,935640.353103994,186,4873,31.604760928,10,119.000000000,174,1428,1264.750000000,1.129076893,0.282269223,51,46.500000000,1.096774194,4,49
708.sqlite_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_708_sqlite_r_cmd000_w03_q70_n10020,c5fec1760464fdf5d70502de0786f97a5e3094577aa09faede490e8cc6f5c0be,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5014,2203,2811,348,2463,0,2463,907,39408,14512,907,0,0,0,0,0,0,0,0,39744,0,0,0,4,2,16,128,4,64,192,1,5014,2281,2733,400,2333,1754,4087,955,65392,15280,955,1754,376,1373,5,1164,0,376,0,53189,0,0,0,0.214367161,0.027748132,0.052781161,0.496142433,26752,13445,0.338290056,1.000000000,harmful,292,214,358,228,10020,measure,5014,3498,1516,2.307387863,0.697646590,591,9456,73.875000000,5013,0,0.151805306,0.060043886,893325.755834829,591,4423,44.338005878,8,111.000000000,536,1528,1253.500000000,1.218986837,0.304746709,157,147.750000000,1.062605753,4,155
708.sqlite_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_708_sqlite_r_cmd000_w04_q90_n10055,b03b72d4c7e91e403a728c037792ac1e2ab8d0410d227a0caefbfea98f19186a,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5034,2506,2528,249,2279,0,2279,982,36464,15712,982,0,0,0,0,0,0,0,0,38622,0,0,0,4,2,16,128,4,64,192,1,5034,2780,2254,256,1998,1437,3435,1041,54960,16656,1041,1437,464,969,4,1040,0,464,0,48417,0,0,0,0.322894920,0.108386076,0.123299693,0.372585097,19440,9795,0.253611931,1.000000000,harmful,402,128,447,166,10055,measure,5034,3279,1755,1.868376068,0.651370679,653,10448,81.625000000,5033,0,0.186369958,0.087224319,793515.697198490,653,4381,23.635243095,4,46.000000000,498,1344,1258.500000000,1.067938021,0.266984505,171,163.250000000,1.047473201,4,169
721.gcc_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_721_gcc_r_cmd000_w00_q10_n10000,9d86e083e87e80ed765b905751b6e6bf03dec3d343e8f54be36e626bf61a5320,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,2122,2878,267,2611,0,2611,1048,41776,16768,1048,0,0,0,0,0,0,0,0,41082,0,0,0,4,2,16,128,4,64,192,1,5000,2231,2769,236,2533,1877,4410,1091,70560,17456,1091,1877,336,1539,2,1238,0,336,0,55880,0,0,0,0.179009057,0.037873523,0.029873612,0.503416234,29472,14798,0.360206416,1.000000000,harmful,271,162,321,243,10000,measure,5000,3159,1841,1.715915263,0.631800000,443,7088,55.375000000,4999,0,0.219043809,0.054210842,4501641.981996399,443,4557,42.957428133,11,156.000000000,389,1527,1250.000000000,1.221600000,0.305400000,118,110.750000000,1.065462754,4,116
721.gcc_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_721_gcc_r_cmd000_w01_q30_n10000,29742975b558d639b33fc5499b9a61bebe169d834eb163e553adefde2380c4c2,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,2065,2935,138,2797,0,2797,1311,44752,20976,1311,0,0,0,0,0,0,0,0,42598,0,0,0,4,2,16,128,4,64,192,1,5000,2086,2914,153,2761,2370,5131,1370,82096,21920,1370,2370,293,2071,6,1470,0,293,0,61838,0,0,0,0.123628692,0.007155026,0.012870933,0.582521908,38288,19240,0.451664397,1.000000000,harmful,236,215,293,257,10000,measure,5000,2922,2078,1.406159769,0.584400000,614,9824,76.750000000,4999,0,0.232246449,0.052610522,4779888.180836167,614,4386,16.522343821,11.000000000,37.000000000,40,1506,1250.000000000,1.204800000,0.301200000,171,153.500000000,1.114006515,4,169
721.gcc_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_721_gcc_r_cmd000_w02_q50_n10000,d3d6c3b570a474d13ad6c91287a30600f557868bd1b388789c7ad93248ad6672,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1840,3160,259,2901,0,2901,966,46416,15456,966,0,0,0,0,0,0,0,0,42799,0,0,0,4,2,16,128,4,64,192,1,5000,1720,3280,220,3060,2367,5427,1022,86832,16352,1022,2367,211,2150,6,1552,0,211,0,63228,0,0,0,0.089142374,-0.037974684,-0.054808687,0.667701060,41312,20429,0.477324237,1.000000000,harmful,177,297,187,346,10000,measure,5000,3428,1572,2.180661578,0.685600000,114,1824,14.250000000,4999,0,0.188637728,0.006201240,6513150.630726146,114,4886,22.338108883,17.000000000,57.000000000,84,1752,1250.000000000,1.401600000,0.350400000,35,28.500000000,1.228070175,4,33
721.gcc_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_721_gcc_r_cmd000_w03_q70_n10000,c230cd47a7b701d696fada6fd743411196b80ca9eb773cc7bfd0c4b699858c00,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,3456,1544,374,1170,0,1170,235,18720,3760,235,0,0,0,0,0,0,0,0,29514,0,0,0,4,2,16,128,4,64,192,1,5000,3374,1626,253,1373,1149,2522,261,40352,4176,261,1149,127,1019,3,669,0,127,0,39792,0,0,0,0.110530896,-0.053108808,-0.173504274,0.980782918,22048,10278,0.348241513,1.000000000,harmful,118,200,116,319,10000,measure,5000,4338,662,6.552870091,0.867600000,83,1328,10.375000000,4999,0,0.365073015,0.016203241,3433939.114222845,83,4917,7.567419158,2,29.000000000,82,1874,1250.000000000,1.499200000,0.374800000,25,20.750000000,1.204819277,4,23
721.gcc_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_721_gcc_r_cmd000_w04_q90_n10000,f675e37823ac21c50ed43447c7279d2970a8f9516ccbc5ec180861d0a2a7ba1a,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,2115,2885,444,2441,0,2441,1028,39056,16448,1028,0,0,0,0,0,0,0,0,40151,0,0,0,4,2,16,128,4,64,192,1,5000,2102,2898,390,2508,1895,4403,1171,70448,18736,1171,1895,348,1545,2,1208,0,348,0,56190,0,0,0,0.183641161,-0.004506066,-0.027447767,0.606803113,33680,16039,0.399467012,1.000000000,harmful,293,306,314,381,10000,measure,5000,3064,1936,1.582644628,0.612800000,542,8672,67.750000000,4999,0,0.181036207,0.067213443,5225489.534506901,542,4458,31.230148048,8.000000000,90.000000000,504,1373,1250.000000000,1.098400000,0.274600000,139,135.500000000,1.025830258,4,137
767.nest_r,0,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd000_w00_q10_n10000,d385057a844853df6b0e1280ccaed5a0bac0323da2aecd934c713d660d0fff9a,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,2472,2528,207,2321,0,2321,1167,37136,18672,1167,0,0,0,0,0,0,0,0,38988,0,0,0,4,2,16,128,4,64,192,1,5000,3375,1625,278,1347,1231,2578,1178,41248,18848,1178,1231,1007,224,0,1121,0,1007,0,42541,0,0,0,0.818034119,0.357199367,0.419646704,0.076834862,4288,3553,0.091130604,1.000000000,harmful,970,67,1027,53,10000,measure,5000,2595,2405,1.079002079,0.519000000,2097,33552,262.125000000,4999,1,0.379275855,0.379275855,1647865.640528106,2097,2903,5.156045470,0,8.000000000,178,1337,1250.000000000,1.069600000,0.267400000,534,524.250000000,1.018597997,4,532
767.nest_r,0,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd000_w01_q30_n10000,c4a35f2488f4b63f3376a9737a93e4e17df68c28be94b5be88910df278349ed8,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1345,3655,250,3405,0,3405,584,54480,9344,584,0,0,0,0,0,0,0,0,45572,0,0,0,4,2,16,128,4,64,192,1,5000,1278,3722,359,3363,2863,6226,696,99616,11136,696,2863,222,2636,5,1621,0,222,0,68479,0,0,0,0.077541041,-0.018331053,0.012334802,0.735271998,46928,22907,0.502655139,1.000000000,harmful,139,206,194,152,10000,measure,5000,4223,777,5.435006435,0.844600000,636,10176,79.500000000,4999,0,0.066613323,0.044408882,7693681.451290258,636,4364,18.352199817,27.000000000,29.000000000,29,1695,1250.000000000,1.356000000,0.339000000,160,159.000000000,1.006289308,4,158
767.nest_r,0,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd000_w02_q50_n10000,c9aa7bcfb6919250b8ea95a40f3a6cd201f9ce5e263c800b7750c5f99b836d7e,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1313,3687,330,3357,0,3357,559,53712,8944,559,0,0,0,0,0,0,0,0,45014,0,0,0,4,2,16,128,4,64,192,1,5000,1379,3621,263,3358,2962,6320,726,101120,11616,726,2962,328,2629,5,1614,0,328,0,68991,0,0,0,0.110735989,0.017900732,-0.000297885,0.799284985,50080,23977,0.532656507,1.000000000,harmful,262,196,229,230,10000,measure,5000,4210,790,5.329113924,0.842000000,679,10864,84.875000000,4999,-2,0.079015803,0.026405281,9761257.189437887,679,4321,16.312890535,24,25.000000000,25,1713,1250.000000000,1.370400000,0.342600000,173,169.750000000,1.019145803,4,171
767.nest_r,0,3,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd000_w03_q70_n10000,f9db3a7da7f0d7bfb6c9b3b85fb0cf9210e0cb93ff3f5b1eb31d20a6994cd6b7,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1348,3652,250,3402,0,3402,582,54432,9312,582,0,0,0,0,0,0,0,0,45555,0,0,0,4,2,16,128,4,64,192,1,5000,1280,3720,374,3346,2861,6207,694,99312,11104,694,2861,237,2618,6,1542,0,237,0,68324,0,0,0,0.082838168,-0.018619934,0.016460905,0.732178715,46672,22769,0.499813412,1.000000000,harmful,140,208,209,153,10000,measure,5000,4222,778,5.426735219,0.844400000,636,10176,79.500000000,4999,-1,0.066813363,0.044408882,7716326.812762553,636,4364,18.347158570,27.000000000,29.000000000,29,1694,1250.000000000,1.355200000,0.338800000,160,159.000000000,1.006289308,4,158
767.nest_r,0,4,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd000_w04_q90_n10000,e6f52e7235352fbe6a5ab3caa9549f30d37c6e41c8ea11a180b4a46f796524c2,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1637,3363,416,2947,0,2947,787,47152,12592,787,0,0,0,0,0,0,0,0,43029,0,0,0,4,2,16,128,4,64,192,1,5000,1623,3377,489,2888,2049,4937,889,78992,14224,889,2049,326,1719,4,1280,0,326,0,59707,0,0,0,0.159102001,-0.004162950,0.020020360,0.560257097,33472,16678,0.387599061,1.000000000,harmful,211,225,299,240,10000,measure,5000,3613,1387,2.604902668,0.722600000,332,5312,41.500000000,4999,0,0.112222444,0.094818964,5520359.401480296,332,4668,18.192802057,17.000000000,32.000000000,82,1595,1250.000000000,1.276000000,0.319000000,86,83.000000000,1.036144578,4,84
767.nest_r,1,0,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd001_w00_q10_n10000,7b0b1f1e05b1be9a358c5de2439ccb34f548a84443d9e2f86dc3b6cebcff17ad,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1770,3230,166,3064,0,3064,708,49024,11328,708,0,0,0,0,0,0,0,0,43694,0,0,0,4,2,16,128,4,64,192,1,5000,2139,2861,262,2599,2058,4657,751,74512,12016,751,2058,558,1498,2,1398,0,558,0,56695,0,0,0,0.271137026,0.114241486,0.151762402,0.433722163,26176,13001,0.297546574,1.000000000,harmful,524,155,556,91,10000,measure,5000,3751,1249,3.003202562,0.750200000,330,5280,41.250000000,4999,0,0.207041408,0.151230246,2579494.105221044,330,4670,49.456102784,25.000000000,141.000000000,232,1392,1250.000000000,1.113600000,0.278400000,85,82.500000000,1.030303030,4,83
767.nest_r,1,1,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd001_w01_q30_n10000,9642d770bd12520aeca0939a03b59b052c52760b1325283006e77a39f7716f02,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1793,3207,203,3004,0,3004,669,48064,10704,669,0,0,0,0,0,0,0,0,43274,0,0,0,4,2,16,128,4,64,192,1,5000,2168,2832,262,2570,2151,4721,713,75536,11408,713,2151,559,1586,6,1413,0,559,0,57097,0,0,0,0.259879126,0.116931712,0.144474035,0.479444596,28176,13823,0.319429681,1.000000000,harmful,518,143,557,123,10000,measure,5000,3801,1199,3.170141785,0.760200000,310,4960,38.750000000,4999,0,0.204840968,0.154030806,2446381.186637328,310,4690,45.712579957,26.000000000,117.000000000,212,1459,1250.000000000,1.167200000,0.291800000,81,77.500000000,1.045161290,4,79
767.nest_r,1,2,4,2,16,4,blocking-fixed-latency2-periodic-ready,demand-warm-measure,spec2026_767_nest_r_cmd001_w02_q50_n10000,531ec75225bb2f9405e6e993aeb9ddcd5f5712cbe0260d6b06d6bce4c0b17a50,2w_s4_vc4_pf0,2w_s4_vc4_pf1,4,2,16,128,4,64,192,0,5000,1803,3197,176,3021,0,3021,643,48336,10288,643,0,0,0,0,0,0,0,0,43354,0,0,0,4,2,16,128,4,64,192,1,5000,2198,2802,243,2559,2103,4662,683,74592,10928,683,2103,560,1538,5,1412,0,560,0,56585,0,0,0,0.266286258,0.123553331,0.152929494,0.458788210,26896,13231,0.305185219,1.000000000,harmful,530,135,558,96,10000,measure,5000,3811,1189,3.205214466,0.762200000,332,5312,41.500000000,4999,0,0.201240248,0.157831566,2215573.580316063,332,4668,47.932519280,24.000000000,118.000000000,313,1466,1250.000000000,1.172800000,0.293200000,84,83.000000000,1.012048193,4,82
