benchmark,command,window,trace_id,cycles_on_minus_off,classification
708.sqlite_r,0,0,spec2026_708_sqlite_r_cmd000_w00_q10_n10044,24,harmful
708.sqlite_r,0,1,spec2026_708_sqlite_r_cmd000_w01_q30_n10041,8,harmful
708.sqlite_r,0,2,spec2026_708_sqlite_r_cmd000_w02_q50_n10099,24,harmful
708.sqlite_r,0,3,spec2026_708_sqlite_r_cmd000_w03_q70_n10020,-8,helpful
708.sqlite_r,0,4,spec2026_708_sqlite_r_cmd000_w04_q90_n10055,-8,helpful
721.gcc_r,0,0,spec2026_721_gcc_r_cmd000_w00_q10_n10000,5,harmful
721.gcc_r,0,1,spec2026_721_gcc_r_cmd000_w01_q30_n10000,8,harmful
721.gcc_r,0,2,spec2026_721_gcc_r_cmd000_w02_q50_n10000,-1,helpful
721.gcc_r,0,3,spec2026_721_gcc_r_cmd000_w03_q70_n10000,16,harmful
721.gcc_r,0,4,spec2026_721_gcc_r_cmd000_w04_q90_n10000,0,neutral
767.nest_r,0,0,spec2026_767_nest_r_cmd000_w00_q10_n10000,1,harmful
767.nest_r,0,1,spec2026_767_nest_r_cmd000_w01_q30_n10000,0,neutral
767.nest_r,0,2,spec2026_767_nest_r_cmd000_w02_q50_n10000,0,neutral
767.nest_r,0,3,spec2026_767_nest_r_cmd000_w03_q70_n10000,0,neutral
767.nest_r,0,4,spec2026_767_nest_r_cmd000_w04_q90_n10000,0,neutral
767.nest_r,1,0,spec2026_767_nest_r_cmd001_w00_q10_n10000,0,neutral
767.nest_r,1,1,spec2026_767_nest_r_cmd001_w01_q30_n10000,-8,helpful
767.nest_r,1,2,spec2026_767_nest_r_cmd001_w02_q50_n10000,-6,helpful
767.nest_r,1,3,spec2026_767_nest_r_cmd001_w03_q70_n10000,-16,helpful
767.nest_r,1,4,spec2026_767_nest_r_cmd001_w04_q90_n10000,-16,helpful
777.zstd_r,0,0,spec2026_777_zstd_r_cmd000_w00_q10_n10088,0,neutral
777.zstd_r,0,1,spec2026_777_zstd_r_cmd000_w01_q30_n10080,-8,helpful
777.zstd_r,0,2,spec2026_777_zstd_r_cmd000_w02_q50_n10086,8,harmful
777.zstd_r,0,3,spec2026_777_zstd_r_cmd000_w03_q70_n10072,0,neutral
777.zstd_r,0,4,spec2026_777_zstd_r_cmd000_w04_q90_n10386,8,harmful
