benchmark,command,window,trace_id,producer_profile,producer_gap,timing_profile,off_cycles,on_cycles,cycle_delta,cycle_delta_fraction,classification,off_total_bytes,on_total_bytes,byte_delta,pf_candidates,pf_admitted,pf_issued,pf_returned,pf_installed,pf_merged,pf_discarded,pf_unused_evicted,pf_unused_resident,pf_caused_writebacks,pf_demand_block_cycles
708.sqlite_r,0,0,spec2026_708_sqlite_r_cmd000_w00_q10_n10044,zero-bubble,0,blocking-fixed-latency2-periodic-ready,34587,34611,24,0.000693902,harmful,55904,55904,0,1298,47,47,47,0,47,0,0,0,0,173
708.sqlite_r,0,1,spec2026_708_sqlite_r_cmd000_w01_q30_n10041,zero-bubble,0,blocking-fixed-latency2-periodic-ready,33418,33426,8,0.000239392,harmful,52112,52112,0,1122,57,57,57,0,57,0,0,0,0,222
708.sqlite_r,0,2,spec2026_708_sqlite_r_cmd000_w02_q50_n10099,zero-bubble,0,blocking-fixed-latency2-periodic-ready,35289,35313,24,0.000680099,harmful,54352,54352,0,1058,91,91,91,0,91,0,0,0,0,333
708.sqlite_r,0,3,spec2026_708_sqlite_r_cmd000_w03_q70_n10020,zero-bubble,0,blocking-fixed-latency2-periodic-ready,34766,34758,-8,-0.000230110,helpful,53920,53920,0,879,45,45,45,0,45,0,0,0,0,150
708.sqlite_r,0,4,spec2026_708_sqlite_r_cmd000_w04_q90_n10055,zero-bubble,0,blocking-fixed-latency2-periodic-ready,33577,33569,-8,-0.000238258,helpful,52176,52176,0,1251,130,130,130,0,130,0,0,0,0,460
721.gcc_r,0,0,spec2026_721_gcc_r_cmd000_w00_q10_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,36078,36083,5,0.000138589,harmful,58544,58544,0,1104,83,83,83,0,83,0,0,0,0,283
721.gcc_r,0,1,spec2026_721_gcc_r_cmd000_w01_q30_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,37625,37633,8,0.000212625,harmful,65728,65728,0,651,34,34,34,0,34,0,0,0,0,135
721.gcc_r,0,2,spec2026_721_gcc_r_cmd000_w02_q50_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,37780,37779,-1,-0.000026469,helpful,61872,61872,0,768,79,79,79,0,79,0,0,0,0,257
721.gcc_r,0,3,spec2026_721_gcc_r_cmd000_w03_q70_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,24472,24488,16,0.000653808,harmful,22480,22480,0,308,33,33,33,0,33,0,0,0,0,118
721.gcc_r,0,4,spec2026_721_gcc_r_cmd000_w04_q90_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,35162,35162,0,0.000000000,neutral,55504,55504,0,1215,23,23,23,0,23,0,0,0,0,79
767.nest_r,0,0,spec2026_767_nest_r_cmd000_w00_q10_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,33994,33995,1,0.000029417,harmful,55808,55808,0,2121,67,67,67,0,67,0,0,0,0,257
767.nest_r,0,1,spec2026_767_nest_r_cmd000_w01_q30_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,40349,40349,0,0.000000000,neutral,63824,63824,0,776,43,43,43,0,43,0,0,0,0,129
767.nest_r,0,2,spec2026_767_nest_r_cmd000_w02_q50_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,40149,40149,0,0.000000000,neutral,62656,62656,0,919,0,0,0,0,0,0,0,0,0,0
767.nest_r,0,3,spec2026_767_nest_r_cmd000_w03_q70_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,40445,40445,0,0.000000000,neutral,63744,63744,0,777,41,41,41,0,41,0,0,0,0,123
767.nest_r,0,4,spec2026_767_nest_r_cmd000_w04_q90_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,38077,38077,0,0.000000000,neutral,59744,59744,0,918,77,77,77,0,77,0,0,0,0,231
767.nest_r,1,0,spec2026_767_nest_r_cmd001_w00_q10_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,38456,38456,0,0.000000000,neutral,60352,60352,0,1393,64,64,64,0,64,0,0,0,0,217
767.nest_r,1,1,spec2026_767_nest_r_cmd001_w01_q30_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,38003,37995,-8,-0.000210510,helpful,58768,58768,0,1370,64,64,64,0,64,0,0,0,0,222
767.nest_r,1,2,spec2026_767_nest_r_cmd001_w02_q50_n10000,zero-bubble,0,blocking-fixed-latency2-periodic-ready,38112,38106,-6,-0.000157431,helpful,58624,58624,0,1392,55,55,55,0,55,0,0,0,0,185
